ID,SMILES,Monoisotopic_Mass,InChI_Key
C00061,NC(=O)CC[C@H](N)C(=O)O,146.06914218,ZDXPYRJPNDTMRX-VKHMYHEASA-N
C00062,N[C@@H](CO)C(=O)O,105.042593084,MTCFGRXMJLQNBG-REOHCLBHSA-N
C00063,*[C@@H]1O[C@H](COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2CO)[C@@H](O)[C@H]1O,,
C00064,C=O,30.010564684,WSFSSNUMVMOOMR-UHFFFAOYSA-N
C00065,Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1,425.04441962809,AYEKOFBPNLCAJY-UHFFFAOYSA-O
C00066,*O,,
C00067,[Cu],62.9295975,RYGMFSIKBFXOCR-UHFFFAOYSA-N
C00068,*C=O,,
C00069,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,176.032087976,CIWBSHSKHKDKBQ-JLAZNSOCSA-N
C00070,CSCC[C@H](N)C(=O)O,149.051049592,FFEARJCKVFRZRR-BYPYZUCNSA-N
C00071,C=C(OP(=O)(O)O)C(=O)O,167.98237451000003,DTBNBXWJWCWCIK-UHFFFAOYSA-N
C00072,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,483.96852766999984,PGAVKCOVUIYSFO-XVFCMESISA-N
C00073,[Ca+2],39.96149382018,BHPQYMZQTOCNFJ-UHFFFAOYSA-N
C00074,NCCC[C@H](N)C(=O)O,132.089877624,AHLPHDHHMVZTML-BYPYZUCNSA-N
C00075,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,204.089877624,QIVBCDIJIAJPQS-VIFPVBQESA-N
C00076,N[C@@H](Cc1ccccc1)C(=O)O,165.078978592,COLNVLDHVKWLRT-QMMMGPOBSA-N
C00077,[H+],1.00727645209,GPRLSGONYQIRFK-UHFFFAOYSA-N
